127.0.0.1 - - [29/Aug/2018:00:10:36 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:58 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:58 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:58 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:58 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:58 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A?ln=primefaces&v=6.2 HTTP/1.1" 200 93285
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 200 95
