127.0.0.1 - - [13/Jul/2018:16:15:23 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:15:27 -0300] "GET /ComponentesJSF/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:16:50 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:22:03 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:22:16 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:22:52 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:23:01 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:31:00 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:32:07 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:32:11 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:55:36 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:55:42 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:55:55 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:56:01 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:00:06 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5589
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:00:09 -0300] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5589
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:00:46 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:03:17 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:03:43 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:03:44 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:06:19 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 5315
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:07:14 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:15:17 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:22:16 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [13/Jul/2018:17:26:49 -0300] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 2294
