127.0.0.1 - - [05/Sep/2018:22:15:03 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:15 -0300] "GET /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:15 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:15 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:15 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:15 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 200 18311
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:16 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:16 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:16 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:16 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:22:15:16 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
