127.0.0.1 - - [17/Jul/2018:18:51:23 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jul/2018:18:51:23 -0300] "GET /Navegacao/ HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [17/Jul/2018:18:51:51 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [17/Jul/2018:18:52:13 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Jul/2018:18:57:50 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [17/Jul/2018:18:59:54 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:08:17 -0300] "GET /Navegacao/faces/menu.xhtml HTTP/1.1" 500 3833
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:09:16 -0300] "GET /Navegacao/faces/menu.xhtml HTTP/1.1" 500 3833
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:09:33 -0300] "GET /Navegacao/faces/menu.xhtml HTTP/1.1" 500 3833
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:10:16 -0300] "GET /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:10:16 -0300] "GET /Navegacao/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 41707
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:16:28 -0300] "GET /Navegacao/faces/produtos.xhtml HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:07 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:10 -0300] "POST /Navegacao/faces/login.xhtml;jsessionid=F6FDEF007C34CE935015ADCB45ADE50E HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:11 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:13 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:14 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:16 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:16 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:17 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:41 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:42 -0300] "POST /Navegacao/faces/login.xhtml;jsessionid=A93D226659AE93908CF9F84B38DBB194 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:24:43 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 500 3885
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:31 -0300] "GET /Navegacao/faces/login.xhtml HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:32 -0300] "POST /Navegacao/faces/login.xhtml;jsessionid=57298EC13AB66BA949E0924B9FAEF88F HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:33 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:35 -0300] "POST /Navegacao/faces/produtos.xhtml HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:36 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:37 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:38 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:40 -0300] "POST /Navegacao/faces/produtos.xhtml HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:40 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:42 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:43 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [17/Jul/2018:19:25:44 -0300] "POST /Navegacao/faces/produtos.xhtml HTTP/1.1" 200 1053
